year,price,Km_travelled,fuel_type,transmission,city,color,assembly,engine,body_type,interior_scores,exterior_scores,safety_scores,comfort_scores,company
2009,0.28,74000,Petrol,Automatic,Sindh,other,Local,1800,Sedan,14,6,27,13,Honda
2015,0.41,65000,Petrol,Manual,Sindh,Black,Local,1800,Sedan,24,21,40,25,Toyota
2021,0.67,97594,Petrol,Automatic,Punjab,White,Local,2000,Crossover,28,23,38,35,KIA
2014,0.46,64000,Hybrid,Automatic,Sindh,Silver,Imported,1500,Crossover,34,13,50,38,Honda
2016,1.95,63928,Petrol,Automatic,Sindh,White,Imported,2700,SUV,11,13,39,44,Toyota
2014,0.51,90000,Hybrid,Automatic,Sindh,other,Imported,1800,Sedan,18,9,33,30,Toyota
2016,3.75,75529,Petrol,Automatic,Sindh,Black,Imported,4600,SUV,7,14,27,19,Toyota
2010,1.45,85151,Petrol,Automatic,Sindh,White,Imported,2700,SUV,19,17,37,29,Toyota
2007,1.87,90000,Petrol,Automatic,Sindh,White,Imported,4600,SUV,28,17,39,35,Toyota
2019,0.48,34000,Petrol,Automatic,Punjab,White,Local,1500,MPV,18,13,33,29,Honda
2016,1.86,72000,Petrol,Automatic,Punjab,Black,Imported,2700,SUV,18,13,44,30,Toyota
2014,0.27,145000,Petrol,Automatic,Islamabad,Black,Imported,660,Sedan,14,4,21,24,Honda
2000,0.14,175000,Petrol,Automatic,Punjab,other,Local,1600,Sedan,10,17,11,8,Honda
1994,0.09,89818,Petrol,Manual,Islamabad,White,Local,1300,Sedan,15,6,0,2,Suzuki
2015,1.99,49000,Hybrid,Automatic,Punjab,Black,Imported,3000,SUV,28,13,49,50,Porsche
2004,0.15,185000,Petrol,Automatic,Sindh,Grey,Local,1600,Sedan,10,17,17,6,Honda
2007,0.28,212000,Hybrid,Automatic,Punjab,Silver,Imported,1500,Sedan,18,9,34,13,Toyota
2013,0.36,140000,Petrol,Automatic,Punjab,Black,Local,1800,Sedan,0,14,27,19,Honda
2018,0.4,61000,Petrol,Manual,Sindh,Silver,Local,1300,Sedan,14,0,27,13,Toyota
2005,0.17,302876,Petrol,Automatic,Punjab,White,Local,1300,Sedan,14,0,3,8,Honda
2026,0.3,117,Petrol,Manual,Un-Registered,White,Local,1200,MPV,20,3,24,14,Changan
2015,0.45,125000,Hybrid,Automatic,Punjab,White,Imported,1500,Crossover,34,9,50,38,Honda
1993,0.06,455000,Petrol,Manual,Islamabad,Blue,Imported,1500,Sedan,3,0,0,2,Daewoo
2018,0.39,100000,Petrol,Manual,Punjab,Silver,Local,1300,Sedan,14,0,27,13,Toyota
2019,1.29,91000,Petrol,Automatic,Islamabad,White,Imported,1400,Sedan,24,9,39,29,Audi
2006,0.27,153000,Petrol,Automatic,Islamabad,Silver,Imported,1300,Sedan,7,6,34,13,Toyota
2010,0.27,188000,Petrol,Automatic,Islamabad,White,Local,1800,Sedan,14,17,27,13,Honda
2023,0.87,20000,Petrol,Automatic,Punjab,Black,Local,1500,Sedan,29,21,44,35,Honda
2002,0.65,100000,Petrol,Automatic,Punjab,White,Imported,3400,SUV,14,17,27,13,Toyota
2018,0.36,78000,Petrol,Automatic,Sindh,White,Local,1300,Sedan,10,3,17,13,Honda
2026,9.0,1,Petrol,Automatic,Un-Registered,Black,Imported,3500,SUV,37,28,62,60,Toyota
2003,0.19,75495,Petrol,Manual,Islamabad,Silver,Local,1300,Sedan,19,3,15,13,Suzuki
2026,13.5,1,Petrol,Automatic,Un-Registered,Black,Imported,3500,SUV,43,28,62,60,Lexus
2015,0.42,151000,Hybrid,Automatic,Sindh,White,Imported,1500,Crossover,28,13,45,38,Honda
2020,0.71,130000,Hybrid,Automatic,Un-Registered,Black,Imported,1500,Crossover,14,13,45,30,Honda
2024,0.67,16000,Petrol,Automatic,Sindh,other,Local,2000,Sedan,7,14,27,19,Hyundai
2016,0.5,84000,Petrol,Automatic,Islamabad,Silver,Local,1800,Sedan,14,17,27,24,Honda
2004,0.13,229000,Petrol,Manual,Punjab,White,Local,1300,Sedan,10,0,3,8,Suzuki
2018,0.49,163000,Petrol,Automatic,Islamabad,Silver,Local,1800,Sedan,18,21,40,35,Honda
2022,0.72,8400,Petrol,Automatic,Punjab,White,Local,1800,Sedan,29,21,44,30,Toyota
